algorithm,train_data_file,mean_recall,std_recall
LR,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.81,0.07
RF,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.89,0.08
GB,"data/train_test/data_tfidf_500_(1, 3)_clean_lemmatization.pkl",0.84,0.07
NB,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.97,0.04
SVM,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.83,0.08
RF,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.88,0.09
GB,"data/train_test/data_tf_200_(1, 2)_clean_lemmatization.pkl",0.84,0.08
NB,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.96,0.07
SVM,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.84,0.06
RF,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.9,0.1
GB,"data/train_test/data_tf_100_(1, 3)_clean_lemmatization.pkl",0.86,0.1
NB,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.93,0.05
SVM,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.82,0.08
RF,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.9,0.06
GB,"data/train_test/data_tfidf_100_(1, 1)_clean.pkl",0.84,0.1
NB,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.94,0.08
SVM,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.81,0.11
RF,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.88,0.08
GB,"data/train_test/data_tf_200_(1, 2)_clean.pkl",0.77,0.14
